Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),
4,15.688,4,8.985616,1.570005,0.1747242,123.9987,477.5862,0,-115.382,-9.33,
4,15.788,4,8.984152,1.558022,0.1734189,124.75,477.5188,0,-115.382,-9.33,
4,15.888,4,8.987486,1.549435,0.1723992,125.5075,477.7063,0,-115.382,-9.33,
4,15.988,4,8.987942,1.573372,0.1750537,126.29,477.2763,0,-115.382,-9.33,
4,16.088,4,8.98826,1.516536,0.168724,127.0625,477.2975,0,-115.382,-9.33,
4,16.188,4,8.984594,1.573314,0.1751124,128.0237,477.7775,0,-115.382,-9.33,
4,16.288,4,8.980359,1.57082,0.1749173,129.0425,477.85,0,-115.382,-9.33,
4,16.388,4,8.982155,1.566907,0.1744466,129.6175,477.1512,0,-115.3821,-9.33,
4,16.488,4,8.984297,1.562854,0.1739539,130.3662,477.5,0,-115.3823,-9.33,
4,16.588,4,8.98156,1.53917,0.17137,131.1413,477.7475,0,-115.3824,-9.33,
4,16.688,4,8.9921,1.523703,0.169449,132.1175,477.3625,0,-115.3822,-9.33,
4,16.788,4,8.988344,1.50275,0.1671888,132.775,477.1575,0,-115.3819,-9.33,
4,16.888,4,8.988223,1.547552,0.1721755,133.5287,477.4575,0,-115.3816,-9.33,
4,16.988,4,8.987712,1.537478,0.1710645,134.2925,477.3938,0,-115.3814,-9.33,
4,17.088,4,8.987938,1.503741,0.1673065,135.0687,477.4738,0,-115.3813,-9.33,
4,17.188,4,8.98179,1.5431,0.1718031,135.8313,477.3375,0,-115.3812,-9.33,
4,17.288,4,8.982164,1.484233,0.1652423,136.7838,477.5537,0,-115.3812,-9.33,
4,17.388,4,8.985031,1.531097,0.1704053,137.5638,477.6775,0,-115.3813,-9.33,
4,17.488,4,8.982677,1.539868,0.1714264,138.3387,477.1025,0,-115.3811,-9.33,
4,17.588,4,8.979588,1.514318,0.16864,139.1475,477.655,0,-115.381,-9.33,
4,17.688,4,8.983464,1.517445,0.1689153,139.9275,477.5287,0,-115.381,-9.33,
4,17.788,4,8.978643,1.531987,0.1706256,140.7012,477.4025,0,-115.381,-9.33,
4,17.888,4,8.979622,1.55947,0.1736677,141.4738,477.2662,0,-115.3807,-9.33,
4,17.988,4,8.978269,1.555235,0.1732222,142.2388,477.4263,0,-115.3806,-9.33,
4,18.088,4,8.980015,1.537296,0.1711909,143.0038,477.9013,0,-115.3809,-9.33,
4,18.188,4,8.977761,1.565445,0.1743692,143.7725,477.295,0,-115.381,-9.33,
4,18.288,4,8.975285,1.506754,0.1678782,144.73,476.865,0,-115.3808,-9.33,
4,18.388,4,8.979232,1.492079,0.16617,145.4787,477.3763,0,-115.3806,-9.33,
4,18.488,4,8.980099,1.472939,0.1640225,146.255,477.3212,0,-115.3808,-9.33,
4,18.588,4,8.979244,1.504475,0.1675502,147.0287,477.1738,0,-115.3806,-9.33,
4,18.688,4,8.976665,1.561847,0.1739897,147.7912,477.5787,0,-115.3806,-9.33,
4,18.788,4,8.976748,1.510167,0.168231,148.5662,477.5837,0,-115.3809,-9.33,
4,18.888,4,8.984888,1.540034,0.1714027,149.5412,477.5963,0,-115.3811,-9.33,
4,18.988,4,8.98029,1.548383,0.1724202,150.3075,477.0575,0,-115.3814,-9.33,
4,19.088,4,8.984941,1.587096,0.1766395,151.0513,477.5888,0,-115.3818,-9.33,
4,19.188,4,8.981052,1.569537,0.1747609,151.8237,477.5075,0,-115.3818,-9.33,
4,19.288,4,8.981922,1.586635,0.1766476,152.5887,477.44,0,-115.3817,-9.33,
4,19.388,4,8.98539,1.591467,0.1771172,153.3475,477.1563,0,-115.3818,-9.33,
4,19.488,4,8.983477,1.547594,0.1722712,154.2962,477.65,0,-115.3818,-9.33,
4,19.588,4,8.98627,1.533188,0.1706146,155.0638,477.7362,0,-115.3817,-9.33,
4,19.688,4,8.983656,1.533078,0.1706519,155.8463,477.255,0,-115.3819,-9.33,
4,19.788,4,8.98713,1.501971,0.1671246,156.61,477.7837,0,-115.3817,-9.33,
4,19.888,4,8.986876,1.519611,0.1690922,157.3763,477.4575,0,-115.3819,-9.33,
4,19.988,4,8.986365,1.477846,0.1644542,158.1263,477.4625,0,-115.3822,-9.33,
4,20.088,4,8.989703,1.490124,0.165759,159.0762,477.3062,0,-115.3822,-9.33,
4,20.188,4,8.980083,1.53717,0.1711755,159.8562,477.39,0,-115.382,-9.33,
4,20.288,4,8.980777,1.555875,0.173245,160.6225,477.6088,0,-115.382,-9.33,
4,20.388,4,8.981876,1.581731,0.1761025,161.39,476.9838,0,-115.382,-9.33,
4,20.488,4,8.980064,1.532065,0.1706073,162.1638,477.405,0,-115.382,-9.33,
4,20.588,4,8.986489,1.53275,0.1705616,162.9275,477.7538,0,-115.3821,-9.33,
4,20.688,4,8.984827,1.522527,0.1694554,163.6725,477.4375,0,-115.3822,-9.33,
4,20.788,4,8.989328,1.493638,0.1661568,164.6213,477.2063,0,-115.3823,-9.33,
4,20.888,4,8.986328,1.565445,0.174203,165.3863,477.6137,0,-115.3825,-9.33,
4,20.988,4,8.979588,1.562519,0.1740079,166.1475,477.4662,0,-115.3825,-9.33,
4,21.088,4,8.987409,1.549718,0.1724321,166.92,477.35,0,-115.3826,-9.33,
4,21.188,4,8.99231,1.50678,0.1675632,167.6925,477.0763,0,-115.3828,-9.33,
4,21.288,4,8.994028,1.501588,0.1669538,168.45,477.6212,0,-115.3827,-9.33,
4,21.388,4,8.989616,1.477745,0.1643835,169.4212,477.5137,0,-115.3823,-9.33,
4,21.488,4,8.988037,1.482334,0.1649229,170.2025,477.5438,0,-115.3822,-9.33,
4,21.588,4,8.982694,1.565799,0.1743129,170.9575,477.7187,0,-115.3821,-9.33,
4,21.688,4,8.982155,1.540031,0.1714545,171.9688,477.5438,0,-115.3821,-9.33,
4,21.788,4,8.988707,1.514659,0.1685068,172.5425,477.435,0,-115.3822,-9.33,
4,21.888,4,8.989217,1.498304,0.166678,173.31,476.9513,0,-115.3825,-9.33,
4,21.988,4,8.989892,1.471835,0.1637211,174.0762,477.6913,0,-115.3827,-9.33,
4,22.088,4,8.983313,1.564533,0.1741599,174.8313,477.7437,0,-115.3826,-9.33,
4,22.188,4,8.978442,1.542525,0.1718032,175.79,477.335,0,-115.3825,-9.33,
4,22.288,4,8.984284,1.552595,0.1728123,176.565,477.2925,0,-115.3827,-9.33,
4,22.388,4,8.983071,1.537602,0.1711666,177.34,477.6225,0,-115.3827,-9.33,
4,22.488,4,8.988521,1.492992,0.1660998,178.1113,477.655,0,-115.3827,-9.33,
4,22.588,4,8.985443,1.56906,0.1746224,178.9437,477.7725,0,-115.3826,-9.33,
4,22.688,4,8.986251,1.507547,0.1677615,179.7175,476.7662,0,-115.3826,-9.33,
4,22.788,4,8.989845,1.510544,0.1680278,180.4737,477.73,0,-115.3827,-9.33,
4,22.888,4,8.986957,1.536436,0.1709629,181.2275,477.685,0,-115.3828,-9.33,
4,22.988,4,8.988037,1.524456,0.1696094,182.0125,477.0587,0,-115.3824,-9.33,
4,23.088,4,8.982455,1.564208,0.1741403,182.7813,477.665,0,-115.3823,-9.33,
4,23.188,4,8.983325,1.52996,0.1703112,183.7462,477.2863,0,-115.3823,-9.33,
4,23.288,4,8.989932,1.515019,0.168524,184.5137,477.6837,0,-115.3823,-9.33,
4,23.388,4,8.986521,1.498522,0.1667522,185.2637,477.5287,0,-115.3825,-9.33,
4,23.488,4,8.986855,1.482944,0.1650126,186.0375,477.6662,0,-115.3828,-9.33,
4,23.588,4,8.982845,1.557307,0.1733646,186.7937,477.6638,0,-115.383,-9.33,
4,23.688,4,8.985777,1.523696,0.1695676,187.5537,477.1125,0,-115.383,-9.33,
4,23.788,4,8.988421,1.545711,0.1719669,188.5113,477.3838,0,-115.383,-9.33,
4,23.888,4,8.988551,1.471393,0.1636963,189.2825,477.6987,0,-115.3833,-9.33,
4,23.988,4,8.990784,1.452863,0.1615947,190.0488,477.3725,0,-115.3834,-9.33,
4,24.088,4,8.986477,1.539667,0.1713316,190.8225,477.4463,0,-115.3834,-9.33,
4,24.188,4,8.986542,1.510177,0.1680487,191.5962,477.73,0,-115.3833,-9.33,
4,24.288,4,8.983722,1.54788,0.1722983,192.355,477.63,0,-115.3831,-9.33,
4,24.388,4,8.980826,1.52933,0.1702884,193.305,477.6425,0,-115.3829,-9.33,
4,24.488,4,8.982177,1.547656,0.172303,194.0725,477.1262,0,-115.383,-9.33,
4,24.588,4,8.983071,1.521907,0.1694194,194.8537,477.4225,0,-115.3833,-9.33,
4,24.688,4,8.989257,1.508303,0.1677895,195.625,477.4762,0,-115.3835,-9.33,
4,24.788,4,8.986743,1.58505,0.1763765,196.3913,477.2125,0,-115.3835,-9.33,
4,24.888,4,8.981263,1.550046,0.1725866,197.1588,477.51,0,-115.3833,-9.33,
4,24.988,4,8.982554,1.577584,0.1756276,197.925,477.6938,0,-115.3834,-9.33,
4,25.088,4,8.979284,1.569641,0.1748069,198.6975,477.6313,0,-115.3833,-9.33,
4,25.188,4,8.979003,1.560441,0.1737878,199.6337,477.205,0,-115.3832,-9.33,
4,25.288,4,8.980817,1.59083,0.1771365,200.3975,477.4775,0,-115.3832,-9.33,
