Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,,Lubricant
Rotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,,Vaseline
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,16.566,4,0.1646721,0.4951588,3.006937,477.7175,2076.815,-9.33,-116.3757,0,25.5,
4,16.666,4,0.1654858,0.4964643,3.000042,477.0763,2077.595,-9.33,-116.3758,0,25.5,
4,16.766,4,0.169827,0.5087525,2.995711,477.5137,2078.379,-9.33,-116.3759,0,25.5,
4,16.866,4,0.175517,0.5266101,3.000336,477.78,2079.159,-9.33,-116.376,0,25.5,
4,16.966,4,0.1737001,0.521161,3.000349,477.5875,2079.95,-9.33,-116.3762,0,25.5,
4,17.066,4,0.1733533,0.5201965,3.000788,477.2125,2080.726,-9.33,-116.3763,0,25.5,
4,17.166,4,0.1759216,0.5279189,3.000875,477.6462,2081.506,-9.33,-116.3766,0,25.5,
4,17.266,4,0.1746456,0.5240155,3.000451,477.3488,2082.28,-9.33,-116.3766,0,25.5,
4,17.366,4,0.17433,0.5232166,3.001299,477.6925,2083.061,-9.33,-116.3766,0,25.5,
4,17.466,4,0.176259,0.5295101,3.00416,477.7437,2083.819,-9.33,-116.3767,0,25.5,
4,17.566,4,0.1763188,0.529351,3.002237,477.4825,2084.62,-9.33,-116.3765,0,25.5,
4,17.666,4,0.1750954,0.5252333,2.999698,477.3687,2085.401,-9.33,-116.3764,0,25.5,
4,17.766,4,0.1774265,0.5321568,2.999308,477.1212,2086.172,-9.33,-116.3766,0,25.5,
4,17.866,4,0.1787006,0.5364076,3.001711,477.5212,2086.958,-9.33,-116.3766,0,25.5,
4,17.966,4,0.1833753,0.5503522,3.001234,477.7263,2087.938,-9.33,-116.3765,0,25.5,
