Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,9.488,4,8.978037,1.525846,nan,74.61124,477.2012,0,-115.3809,-9.33,,nan,nan,nan
4,9.588,4,8.978894,1.551095,nan,75.38375,477.515,0,-115.381,-9.33,,nan,nan,nan
4,9.688,4,8.980734,1.534961,nan,76.14875,477.5087,0,-115.3809,-9.33,,nan,nan,nan
4,9.788,4,8.980764,1.536429,nan,77.115,477.2137,0,-115.3808,-9.33,,nan,nan,nan
4,9.888,4,8.977644,1.552163,nan,77.88125,477.3575,0,-115.3807,-9.33,,nan,nan,nan
4,9.988,4,8.978631,1.524255,nan,78.64875,477.5487,0,-115.3808,-9.33,,nan,nan,nan
4,10.088,4,8.981901,1.557872,nan,79.395,477.2412,0,-115.3808,-9.33,,nan,nan,nan
4,10.188,4,8.979637,1.524518,nan,80.16625,477.305,0,-115.3808,-9.33,,nan,nan,nan
4,10.288,4,8.978616,1.545064,nan,80.9225,477.465,0,-115.3808,-9.33,,nan,nan,nan
4,10.388,4,8.976845,1.535783,nan,81.87749,477.585,0,-115.3808,-9.33,,nan,nan,nan
4,10.488,4,8.978832,1.529564,nan,82.64375,477.1563,0,-115.3809,-9.33,,nan,nan,nan
4,10.588,4,8.979399,1.551368,nan,83.42,477.4825,0,-115.3812,-9.33,,nan,nan,nan
4,10.688,4,8.980591,1.532159,nan,84.19125,477.7175,0,-115.3816,-9.33,,nan,nan,nan
4,10.788,4,8.985811,1.552183,nan,84.9575,477.6375,0,-115.3816,-9.33,,nan,nan,nan
4,10.888,4,8.982873,1.545798,nan,85.73125,477.2612,0,-115.3818,-9.33,,nan,nan,nan
4,10.988,4,8.983554,1.538326,nan,86.5075,477.4263,0,-115.3818,-9.33,,nan,nan,nan
4,11.088,4,8.987393,1.559694,nan,87.27375,477.5375,0,-115.3819,-9.33,,nan,nan,nan
4,11.188,4,8.986322,1.531513,nan,88.23875,477.6062,0,-115.382,-9.33,,nan,nan,nan
4,11.288,4,8.983603,1.55406,nan,88.99875,477.4825,0,-115.3822,-9.33,,nan,nan,nan
4,11.388,4,8.984901,1.542876,nan,89.7475,477.59,0,-115.3825,-9.33,,nan,nan,nan
4,11.488,4,8.988481,1.544428,nan,90.52,477.4788,0,-115.3827,-9.33,,nan,nan,nan
4,11.588,4,8.989684,1.554556,nan,91.285,477.4387,0,-115.383,-9.33,,nan,nan,nan
4,11.688,4,8.988747,1.5335,nan,92.05125,477.2963,0,-115.383,-9.33,,nan,nan,nan
4,11.788,4,8.993004,1.56249,nan,93.00874,477.6337,0,-115.3827,-9.33,,nan,nan,nan
4,11.888,4,8.988319,1.539823,nan,93.78375,477.5375,0,-115.3827,-9.33,,nan,nan,nan
4,11.988,4,8.992174,1.535679,nan,94.5475,477.0075,0,-115.3827,-9.33,,nan,nan,nan
4,12.088,4,8.991554,1.558642,nan,95.2925,477.6688,0,-115.3826,-9.33,,nan,nan,nan
4,12.188,4,8.990796,1.542132,nan,96.06499,477.6025,0,-115.3824,-9.33,,nan,nan,nan
4,12.288,4,8.988412,1.555683,nan,96.83125,477.5575,0,-115.3824,-9.33,,nan,nan,nan
4,12.388,4,8.985108,1.5417,nan,97.775,477.3575,0,-115.3823,-9.33,,nan,nan,nan
4,12.488,4,8.987449,1.557625,nan,98.54874,477.3725,0,-115.3821,-9.33,,nan,nan,nan
4,12.588,4,8.986911,1.564838,nan,99.31374,477.625,0,-115.3821,-9.33,,nan,nan,nan
4,12.688,4,8.98714,1.541505,nan,100.0613,477.245,0,-115.3824,-9.33,,nan,nan,nan
4,12.788,4,8.987684,1.557713,nan,100.8387,477.2525,0,-115.3826,-9.33,,nan,nan,nan
4,12.888,4,8.988375,1.542915,nan,101.7962,477.77,0,-115.3828,-9.33,,nan,nan,nan
4,12.988,4,8.991787,1.558096,nan,102.5613,477.5362,0,-115.3826,-9.33,,nan,nan,nan
4,13.088,4,8.99358,1.533783,nan,103.3263,477.3525,0,-115.3826,-9.33,,nan,nan,nan
4,13.188,4,8.990694,1.538225,nan,104.0788,477.7575,0,-115.3826,-9.33,,nan,nan,nan
4,13.288,4,8.985867,1.563565,nan,104.8363,477.515,0,-115.3824,-9.33,,nan,nan,nan
4,13.388,4,8.984557,1.539995,nan,105.6,477.6413,0,-115.3823,-9.33,,nan,nan,nan
4,13.488,4,8.985904,1.561974,nan,106.5575,477.05,0,-115.3823,-9.33,,nan,nan,nan
4,13.588,4,8.984842,1.555567,nan,107.325,477.4538,0,-115.3825,-9.33,,nan,nan,nan
4,13.688,4,8.989592,1.558109,nan,108.0975,477.8763,0,-115.3828,-9.33,,nan,nan,nan
4,13.788,4,8.988755,1.564624,nan,108.8562,477.0125,0,-115.3828,-9.33,,nan,nan,nan
4,13.888,4,8.988025,1.537436,nan,109.6125,477.4012,0,-115.3827,-9.33,,nan,nan,nan
4,13.988,4,8.990001,1.562704,nan,110.38,477.5825,0,-115.3827,-9.33,,nan,nan,nan
4,14.088,4,8.993774,1.544418,nan,111.33,477.4875,0,-115.3827,-9.33,,nan,nan,nan
