Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,16.644,4,3.005046,0.5023616,0.1671727,119.3725,0,-9.33,-114.6072,
4,16.744,4,2.990463,0.4799088,0.1604798,119.1225,0,-9.33,-114.6072,
4,16.844,4,3.003996,0.4930934,0.1641458,119.135,0,-9.33,-114.6072,
4,16.944,4,2.999668,0.4982081,0.1660878,119.2412,0,-9.33,-114.6072,
4,17.044,4,2.998002,0.4816495,0.1606568,120.0963,0,-9.33,-114.6072,
4,17.144,4,3.002913,0.5075639,0.1690239,119.6937,0,-9.33,-114.6072,
4,17.244,4,2.987875,0.4828705,0.16161,119.26,0,-9.33,-114.6072,
4,17.344,4,2.998959,0.50683,0.169002,119.135,0,-9.33,-114.6073,
4,17.444,4,3.004111,0.5034787,0.1675966,119.0625,0,-9.33,-114.6076,
4,17.544,4,3.005145,0.4837992,0.1609903,119.7538,0,-9.33,-114.6077,
4,17.644,4,3.005804,0.5086324,0.1692167,119.5225,0,-9.33,-114.6075,
4,17.744,4,2.99072,0.4815585,0.1610176,118.9362,0,-9.33,-114.6075,
4,17.844,4,2.999312,0.5046965,0.1682708,119.0437,0,-9.33,-114.6072,
4,17.944,4,2.998631,0.4991142,0.1664474,119.2937,0,-9.33,-114.607,
4,18.044,4,2.997374,0.4838642,0.1614294,120.1212,0,-9.33,-114.6071,
4,18.144,4,3.002742,0.506304,0.1686139,119.5537,0,-9.33,-114.6071,
4,18.244,4,2.991646,0.4814871,0.1609439,119.2875,0,-9.33,-114.6069,
4,18.344,4,2.996801,0.4975554,0.1660288,119.165,0,-9.33,-114.6066,
4,18.444,4,2.997971,0.498351,0.1662294,119.2513,0,-9.33,-114.6064,
4,18.544,4,2.994256,0.4850593,0.1619966,119.9063,0,-9.33,-114.6065,
4,18.644,4,2.999033,0.5065508,0.1689047,119.3913,0,-9.33,-114.6066,
4,18.744,4,2.986729,0.4895245,0.1638999,118.9825,0,-9.33,-114.6066,
4,18.844,4,2.994188,0.5061059,0.1690295,119.0575,0,-9.33,-114.6067,
4,18.944,4,2.99711,0.5006015,0.167028,119.605,0,-9.33,-114.6068,
