Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,8.048,4,3.003423,0.4230528,nan,119.2675,15.6825,-9.33,0,-116.3762,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.148,4,3.00186,0.4020841,nan,119.81,15.8725,-9.33,0,-116.3763,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.248,4,3.000089,0.3907473,nan,119.3087,16.1075,-9.33,0,-116.3764,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.348,4,3.02118,0.4133657,nan,119.2275,16.2975,-9.33,0,-116.3762,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.448,4,3.011387,0.3855157,nan,119.285,16.485,-9.33,0,-116.376,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.548,4,3.004999,0.4169866,nan,119.3987,16.67625,-9.33,0,-116.376,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.648,4,3.002182,0.4024803,nan,119.7688,16.86625,-9.33,0,-116.3761,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.748,4,2.996714,0.3935076,nan,119.4325,17.10125,-9.33,0,-116.3761,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.848,4,3.018378,0.4122518,nan,119.0025,17.29125,-9.33,0,-116.3761,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,8.948,4,3.009393,0.3913416,nan,119.2612,17.48,-9.33,0,-116.3761,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.048,4,3.004869,0.4158143,nan,119.4575,17.66875,-9.33,0,-116.3759,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.148,4,3.000538,0.4093681,nan,119.6125,17.86125,-9.33,0,-116.376,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.248,4,2.996559,0.3881234,nan,119.4512,18.09875,-9.33,0,-116.376,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.348,4,3.015635,0.4206951,nan,119.1325,18.29,-9.33,0,-116.3758,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.448,4,3.005857,0.3995089,nan,119.305,18.48375,-9.33,0,-116.3757,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.548,4,3.001993,0.412687,nan,119.8875,18.675,-9.33,0,-116.3756,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.648,4,2.997686,0.4101312,nan,119.61,18.86625,-9.33,0,-116.3758,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.748,4,2.993296,0.3878051,nan,119.4925,19.05625,-9.33,0,-116.3756,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.848,4,3.015802,0.4205003,nan,119.08,19.2925,-9.33,0,-116.3756,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,9.948,4,3.007291,0.3954301,nan,119.2463,19.485,-9.33,0,-116.3758,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.048,4,3.005646,0.4127357,nan,119.6925,19.675,-9.33,0,-116.3757,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.148,4,3.000872,0.4150316,nan,119.7787,19.86625,-9.33,0,-116.3755,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.248,4,2.997646,0.39682,nan,119.2862,20.05625,-9.33,0,-116.3753,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.348,4,3.015904,0.423358,nan,119.0487,20.295,-9.33,0,-116.3753,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.448,4,2.996773,0.4242835,nan,119.05,20.49,-9.33,0,-116.3751,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.548,4,2.993457,0.4231047,nan,119.8412,20.6775,-9.33,0,-116.3751,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.648,4,2.992745,0.4251831,nan,119.4225,20.87,-9.33,0,-116.3751,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.748,4,2.986098,0.4137132,nan,119.3538,21.06125,-9.33,0,-116.375,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.848,4,3.003752,0.4289923,nan,119.1925,21.25,-9.33,0,-116.3751,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,10.948,4,3.003888,0.4150479,nan,119.2125,21.48625,-9.33,0,-116.375,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.048,4,3.003891,0.4242576,nan,119.7213,21.6775,-9.33,0,-116.375,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.148,4,3.005656,0.4260794,nan,119.42,21.86875,-9.33,0,-116.375,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.248,4,3.0066,0.3971967,nan,119.2412,22.05875,-9.33,0,-116.375,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.348,4,3.04907,0.4325807,nan,118.79,22.255,-9.33,0,-116.375,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.448,4,3.022753,0.3997947,nan,119.1212,22.4475,-9.33,0,-116.3747,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.548,4,3.004863,0.4101702,nan,119.825,22.63875,-9.33,0,-116.3746,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.648,4,3.005523,0.4210036,nan,119.2525,22.87375,-9.33,0,-116.3746,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.748,4,2.997894,0.3998109,nan,119.4912,23.06625,-9.33,0,-116.3745,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.848,4,3.017065,0.4212894,nan,118.82,23.26,-9.33,0,-116.3744,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,11.948,4,3.013901,0.3941084,nan,119.7688,23.44875,-9.33,0,-116.3742,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.048,4,3.012579,0.4040228,nan,119.9475,23.64125,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.148,4,2.99768,0.4272744,nan,119.39,23.8775,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.248,4,2.998262,0.3944072,nan,119.2762,24.06875,-9.33,0,-116.3738,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.348,4,3.015049,0.416087,nan,118.6987,24.2575,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.448,4,3.007486,0.3915429,nan,119.6663,24.44875,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.548,4,3.00052,0.4000382,nan,119.4925,24.64,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.648,4,2.992723,0.42807,nan,119.1687,24.83375,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.748,4,2.985039,0.3913091,nan,119.3825,25.07,-9.33,0,-116.3741,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.848,4,3.004284,0.4163663,nan,118.8575,25.26,-9.33,0,-116.3744,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,12.948,4,3.004733,0.3890846,nan,119.7237,25.4525,-9.33,0,-116.3745,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.048,4,3.000349,0.3979306,nan,119.6912,25.645,-9.33,0,-116.3748,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.148,4,2.995566,0.4224098,nan,119.4175,25.83625,-9.33,0,-116.3747,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.248,4,2.991491,0.400272,nan,119.455,26.0325,-9.33,0,-116.3747,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.348,4,3.006907,0.4138625,nan,119.115,26.2225,-9.33,0,-116.3748,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.448,4,3.005445,0.3933907,nan,119.595,26.45625,-9.33,0,-116.3746,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.548,4,3.000758,0.3931699,nan,119.5137,26.64625,-9.33,0,-116.3746,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.648,4,2.997089,0.4168144,nan,119.2813,26.8425,-9.33,0,-116.3749,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.748,4,2.99189,0.3940337,nan,119.005,27.03125,-9.33,0,-116.3749,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.848,4,3.008346,0.4102644,nan,119.0075,27.21875,-9.33,0,-116.3749,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,13.948,4,3.007634,0.4033214,nan,119.7663,27.455,-9.33,0,-116.3748,25,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.048,4,3.002303,0.4028895,nan,119.5212,27.64625,-9.33,0,-116.3747,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.148,4,2.992284,0.4254331,nan,119.46,27.8375,-9.33,0,-116.3744,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.248,4,2.985633,0.3904875,nan,118.9812,28.0275,-9.33,0,-116.3744,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.348,4,3.004003,0.4151225,nan,118.9875,28.215,-9.33,0,-116.3745,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.448,4,3.006371,0.4011034,nan,119.785,28.45375,-9.33,0,-116.3745,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.548,4,3.002495,0.4025712,nan,119.3838,28.645,-9.33,0,-116.3745,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.648,4,2.99529,0.4282324,nan,119.295,28.83375,-9.33,0,-116.3745,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
