Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,23.708,4,3.000615,0.6352141,0.2116946,477.3613,0,-9.33,-114.5778,
4,23.808,4,2.998853,0.6291901,0.2098102,477.1988,0,-9.33,-114.5776,
4,23.908,4,2.997956,0.6345419,0.2116582,477.2937,0,-9.33,-114.5775,
4,24.008,4,2.995782,0.6307651,0.2105511,477.4012,0,-9.33,-114.5775,
4,24.108,4,2.99933,0.630567,0.2102359,477.465,0,-9.33,-114.5777,
4,24.208,4,3.001253,0.6332948,0.2110101,477.0975,0,-9.33,-114.5776,
4,24.308,4,2.998033,0.6287192,0.2097106,477.715,0,-9.33,-114.5777,
4,24.408,4,2.998281,0.6369969,0.2124541,477.5825,0,-9.33,-114.5776,
4,24.508,4,2.99699,0.6345354,0.2117242,477.585,0,-9.33,-114.5776,
4,24.608,4,2.99816,0.6351426,0.2118441,477.0912,0,-9.33,-114.5777,
4,24.708,4,2.999405,0.6350777,0.2117346,477.4225,0,-9.33,-114.5775,
4,24.808,4,2.996609,0.6315607,0.2107585,477.85,0,-9.33,-114.5773,
4,24.908,4,2.994358,0.6405756,0.2139275,477.0038,0,-9.33,-114.577,
4,25.008,4,2.991906,0.6345224,0.2120797,477.5087,0,-9.33,-114.577,
4,25.108,4,2.99716,0.6395267,0.2133776,477.5438,0,-9.33,-114.5772,
4,25.208,4,2.997881,0.6333111,0.2112529,477.29,0,-9.33,-114.5771,
4,25.308,4,2.995116,0.6366754,0.2125712,477.2612,0,-9.33,-114.5772,
4,25.408,4,2.996816,0.635568,0.2120811,477.565,0,-9.33,-114.5774,
4,25.508,4,2.99511,0.6323758,0.2111361,477.6688,0,-9.33,-114.5776,
4,25.608,4,2.996587,0.6351524,0.2119586,477.1613,0,-9.33,-114.5774,
4,25.708,4,2.997773,0.630213,0.2102271,476.9575,0,-9.33,-114.5773,
4,25.808,4,2.994389,0.6351524,0.2121142,477.81,0,-9.33,-114.5774,
4,25.908,4,2.997448,0.6379679,0.212837,477.455,0,-9.33,-114.5775,
4,26.008,4,2.996123,0.62869,0.2098345,477.1212,0,-9.33,-114.5775,
4,26.108,4,2.99933,0.6351264,0.2117561,477.5375,0,-9.33,-114.5774,
4,26.208,4,2.997305,0.6319991,0.2108558,477.5188,0,-9.33,-114.5774,
4,26.308,4,2.996147,0.6337333,0.2115161,477.98,0,-9.33,-114.5774,
4,26.408,4,2.995178,0.6382017,0.2130764,476.9675,0,-9.33,-114.5774,
4,26.508,4,2.993646,0.6291446,0.21016,477.3563,0,-9.33,-114.5773,
4,26.608,4,2.996216,0.6372275,0.2126774,477.6625,0,-9.33,-114.5774,
4,26.708,4,2.997695,0.6294726,0.2099855,477.2675,0,-9.33,-114.5777,
4,26.808,4,2.996021,0.6356395,0.2121613,477.2625,0,-9.33,-114.5777,
4,26.908,4,2.994658,0.6327395,0.2112894,477.6012,0,-9.33,-114.5776,
4,27.008,4,2.995931,0.6267025,0.2091846,477.48,0,-9.33,-114.5775,
4,27.108,4,2.999228,0.6368086,0.2123242,477.1862,0,-9.33,-114.5775,
4,27.208,4,2.996113,0.6307424,0.2105202,477.435,0,-9.33,-114.5775,
4,27.308,4,2.995934,0.6373541,0.2127397,477.6537,0,-9.33,-114.5777,
4,27.408,4,2.997117,0.6365228,0.2123784,477.5338,0,-9.33,-114.5776,
4,27.508,4,2.99712,0.6257251,0.2087755,477.1975,0,-9.33,-114.5776,
4,27.608,4,2.997284,0.6368281,0.2124684,477.4625,0,-9.33,-114.5776,
4,27.708,4,2.998228,0.6294141,0.2099287,477.7512,0,-9.33,-114.5776,
4,27.808,4,2.996959,0.639465,0.2133713,477.2987,0,-9.33,-114.5778,
4,27.908,4,2.994748,0.6367436,0.2126201,477.5,0,-9.33,-114.5778,
4,28.008,4,2.996209,0.6367891,0.2125316,477.7325,0,-9.33,-114.5778,
4,28.108,4,2.999968,0.6400917,0.2133662,477.5713,0,-9.33,-114.5776,
4,28.208,4,2.99615,0.6321355,0.2109826,477.1512,0,-9.33,-114.5778,
4,28.308,4,2.996655,0.6373671,0.2126928,477.685,0,-9.33,-114.5778,
4,28.408,4,2.995377,0.6360779,0.2123532,477.4575,0,-9.33,-114.5778,
4,28.508,4,2.9949,0.6338437,0.211641,477.8612,0,-9.33,-114.5776,
4,28.608,4,2.997429,0.6378542,0.2128004,477.4237,0,-9.33,-114.5774,
4,28.708,4,2.99425,0.6333955,0.2115373,477.4463,0,-9.33,-114.5775,
4,28.808,4,2.994705,0.6370424,0.2127229,477.76,0,-9.33,-114.5775,
4,28.908,4,2.992856,0.6367371,0.2127523,477.47,0,-9.33,-114.5774,
4,29.008,4,2.995646,0.6339443,0.2116219,477.0825,0,-9.33,-114.5773,
4,29.108,4,2.997247,0.6373703,0.212652,477.935,0,-9.33,-114.5773,
4,29.208,4,2.993937,0.633665,0.2116494,477.4637,0,-9.33,-114.5773,
4,29.308,4,2.993832,0.6418778,0.2144001,477.265,0,-9.33,-114.5774,
4,29.408,4,2.992432,0.6332071,0.2116028,477.8062,0,-9.33,-114.5773,
4,29.508,4,2.993203,0.6362922,0.212579,477.4675,0,-9.33,-114.5774,
4,29.608,4,2.994971,0.6368995,0.2126563,477.44,0,-9.33,-114.5776,
