Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),
4,22.748,4,2.987578,0.3931764,0.1316037,119.4188,45.01375,-9.33,0,-116.3758,25,
4,22.848,4,2.988089,0.4128201,0.1381552,119.4575,45.2475,-9.33,0,-116.3761,25,
4,22.948,4,3.004523,0.4136937,0.1376903,119.3013,45.43875,-9.33,0,-116.3764,25,
4,23.048,4,3.000792,0.4020419,0.1339786,119.2175,45.62875,-9.33,0,-116.3765,25.1,
4,23.148,4,2.994213,0.4307005,0.1438443,119.11,45.81875,-9.33,0,-116.3765,25.1,
4,23.248,4,2.992538,0.4056563,0.1355559,119.5362,46.01375,-9.33,0,-116.3764,25.1,
4,23.348,4,2.992231,0.4210036,0.1406989,119.6663,46.2075,-9.33,0,-116.3764,25.1,
4,23.448,4,3.010566,0.4234619,0.1406586,119.28,46.44375,-9.33,0,-116.3763,25.1,
4,23.548,4,3.006473,0.4185908,0.1392298,119.0187,46.63375,-9.33,0,-116.3764,25.1,
4,23.648,4,2.997529,0.4370167,0.1457924,119.275,46.82625,-9.33,0,-116.3763,25.1,
4,23.748,4,2.993327,0.4078061,0.1362384,119.6387,47.0175,-9.33,0,-116.3764,25.1,
4,23.848,4,2.991562,0.4186005,0.1399271,119.5325,47.21125,-9.33,0,-116.3764,25.1,
4,23.948,4,3.006938,0.4256832,0.141567,119.3087,47.40625,-9.33,0,-116.3764,25.1,
4,24.048,4,3.00217,0.4013924,0.1337008,119.4287,47.6,-9.33,0,-116.3764,25.1,
4,24.148,4,2.994089,0.4240757,0.1416377,119.135,47.83875,-9.33,0,-116.3765,25.1,
4,24.248,4,2.992206,0.4064389,0.1358325,119.7163,48.03375,-9.33,0,-116.3765,25.1,
4,24.348,4,2.989274,0.4106054,0.1373595,119.4137,48.22375,-9.33,0,-116.3765,25.1,
4,24.448,4,3.010056,0.4230171,0.1405346,119.3325,48.42125,-9.33,0,-116.3766,25.1,
4,24.548,4,3.004006,0.4067279,0.1353952,118.9662,48.61,-9.33,0,-116.3764,25.1,
4,24.648,4,2.995442,0.4235464,0.141397,118.99,48.8,-9.33,0,-116.3763,25.1,
4,24.748,4,2.992804,0.4114594,0.1374829,119.52,49.04,-9.33,0,-116.3763,25.1,
4,24.848,4,2.988962,0.4138853,0.1384712,119.3363,49.22875,-9.33,0,-116.3761,25.1,
4,24.948,4,3.007396,0.4120537,0.1370135,119.5263,49.42375,-9.33,0,-116.3761,25.1,
4,25.048,4,3.000674,0.4072703,0.1357262,119,49.61625,-9.33,0,-116.376,25.1,
