Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,18.955,4,0.1439432,1.29532,8.99883,477.6675,149.9875,-9.33,-117.2078,0,25.8,
4,19.055,4,0.1453053,1.308024,9.001904,477.25,150.7675,-9.33,-117.2079,0,25.8,
4,19.155,4,0.1430384,1.28791,9.003942,477.4413,151.5437,-9.33,-117.208,0,25.8,
4,19.255,4,0.1442351,1.298581,9.003223,477.605,152.31,-9.33,-117.2078,0,25.8,
4,19.355,4,0.1443371,1.299175,9.000976,477.175,153.0675,-9.33,-117.2077,0,25.9,
4,19.455,4,0.1452672,1.307215,8.998693,477.3625,153.84,-9.33,-117.2079,0,25.9,
4,19.555,4,0.1447256,1.302919,9.002687,477.6313,154.7987,-9.33,-117.2079,0,25.9,
4,19.655,4,0.1418752,1.277008,9.000923,477.6263,155.55,-9.33,-117.2079,0,25.9,
4,19.755,4,0.1445009,1.301357,9.005874,477.4762,156.3138,-9.33,-117.208,0,25.9,
4,19.855,4,0.1426547,1.28385,8.999706,477.1962,157.0788,-9.33,-117.2081,0,25.9,
4,19.955,4,0.1432853,1.289413,8.998919,477.5125,157.8475,-9.33,-117.2081,0,25.9,
4,20.055,4,0.143994,1.296317,9.00258,477.7137,158.7887,-9.33,-117.2082,0,25.9,
4,20.155,4,0.140656,1.266603,9.00497,477.0763,159.545,-9.33,-117.2081,0,25.9,
4,20.255,4,0.1432075,1.289082,9.001499,477.3987,160.3125,-9.33,-117.2081,0,25.9,
4,20.355,4,0.1414007,1.272588,8.99987,477.5275,161.08,-9.33,-117.2081,0,25.9,
4,20.455,4,0.142556,1.282736,8.998121,477.2438,161.845,-9.33,-117.208,0,25.8,
4,20.555,4,0.1419024,1.277424,9.002128,477.5625,162.6087,-9.33,-117.2083,0,25.8,
4,20.655,4,0.1386593,1.248346,9.002973,477.5825,163.56,-9.33,-117.2085,0,25.8,
4,20.755,4,0.1423278,1.281385,9.003059,477.6162,164.3112,-9.33,-117.2085,0,25.8,
4,20.855,4,0.1412092,1.270851,8.999771,477.3125,165.09,-9.33,-117.2086,0,25.8,
4,20.955,4,0.1432103,1.289134,9.001685,477.0975,165.8488,-9.33,-117.2086,0,25.8,
4,21.055,4,0.1425816,1.283844,9.004276,477.8162,166.615,-9.33,-117.2085,0,25.8,
4,21.155,4,0.1408471,1.268665,9.007394,477.385,167.3675,-9.33,-117.2086,0,25.8,
4,21.255,4,0.1439234,1.295862,9.003837,476.9975,168.345,-9.33,-117.2086,0,25.8,
4,21.355,4,0.1423403,1.281272,9.001468,477.6775,169.1113,-9.33,-117.2087,0,25.8,
4,21.455,4,0.1441002,1.297411,9.003536,477.3575,169.87,-9.33,-117.2087,0,25.8,
4,21.555,4,0.1417204,1.276157,9.00475,477.7937,170.6462,-9.33,-117.2089,0,25.8,
4,21.655,4,0.140677,1.267434,9.009534,477.075,171.4187,-9.33,-117.2089,0,25.8,
4,21.755,4,0.1443353,1.30011,9.00757,477.0887,172.2012,-9.33,-117.2087,0,25.8,
4,21.855,4,0.1422065,1.27984,8.999865,477.7362,172.96,-9.33,-117.2084,0,25.8,
4,21.955,4,0.1445584,1.301416,9.002697,476.9762,173.7487,-9.33,-117.2084,0,25.8,
4,22.055,4,0.1425707,1.283435,9.002093,477.47,174.6963,-9.33,-117.2084,0,25.8,
4,22.155,4,0.1428037,1.28599,9.005301,477.7737,175.4563,-9.33,-117.2084,0,25.8,
4,22.255,4,0.1434321,1.291102,9.001484,477.21,176.2225,-9.33,-117.2085,0,25.8,
4,22.355,4,0.1425771,1.28386,9.004669,477.2313,176.9962,-9.33,-117.2088,0,25.8,
4,22.455,4,0.1443025,1.299496,9.00536,477.4675,177.8,-9.33,-117.2088,0,25.8,
4,22.555,4,0.1425019,1.283691,9.00824,477.5087,178.5762,-9.33,-117.2088,0,25.8,
4,22.655,4,0.1442636,1.299665,9.008961,477.2662,179.3425,-9.33,-117.2088,0,25.8,
4,22.755,4,0.1463537,1.318169,9.006738,477.6875,180.115,-9.33,-117.2086,0,25.8,
4,22.855,4,0.1410199,1.269734,9.003929,477.39,181.0675,-9.33,-117.2086,0,25.8,
4,22.955,4,0.1439811,1.296512,9.004741,477.7875,181.825,-9.33,-117.2086,0,25.8,
4,23.055,4,0.1422367,1.280736,9.004257,477.5525,182.59,-9.33,-117.2086,0,25.8,
4,23.155,4,0.1426732,1.285224,9.008168,476.8175,183.3475,-9.33,-117.2089,0,25.8,
4,23.255,4,0.1435335,1.292407,9.004217,477.5912,184.1312,-9.33,-117.2091,0,25.8,
4,23.355,4,0.143532,1.291894,9.00074,477.15,184.9025,-9.33,-117.2092,0,25.8,
4,23.455,4,0.1457622,1.312444,9.004006,477.0338,185.6787,-9.33,-117.2089,0,25.8,
4,23.555,4,0.1420623,1.279148,9.004134,478.0162,186.645,-9.33,-117.2088,0,25.8,
4,23.655,4,0.1454485,1.309739,9.004827,477.4637,187.4088,-9.33,-117.2089,0,25.8,
4,23.755,4,0.1428602,1.286344,9.004217,477.5725,188.1763,-9.33,-117.2093,0,25.9,
